"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_4026","","hypothetical protein","6","6","1","1","2253","","","","191","191","191","AR465_00973","M48_02807","NRS1_00349","P10_02538","R50_02480","V521_02844"
"acpS","","Holo-[acyl-carrier-protein] synthase","6","6","1","1","1488","","","","359","359","359","AR465_01515","M48_02320","NRS1_02608","P10_02063","R50_02008","V521_02363"
"flp","","Protein flp","6","6","1","1","940","","","","1496","1496","1496","AR465_01086","M48_02694","NRS1_00234","P10_02422","R50_02365","V521_02735"
"sbnH","","2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase","6","6","1","1","273","","","","1202","1202","1202","AR465_00700","M48_00097","NRS1_00622","P10_00048","R50_00051","V521_00139"
"wbnH","","O-antigen biosynthesis glycosyltransferase WbnH","6","6","1","1","280","","","","1166","1166","1166","AR465_00694","M48_00103","NRS1_00628","P10_00054","R50_00058","V521_00145"
"group_4031","","hypothetical protein","6","6","1","1","63","","","","401","401","401","AR465_02216","M48_01443","NRS1_01898","P10_01355","R50_01379","V521_01491"
"group_4032","","hypothetical protein","6","6","1","1","441","","","","920","920","920","AR465_00548","M48_00245","NRS1_00775","P10_00196","R50_00199","V521_00286"
"sle1","","N-acetylmuramoyl-L-alanine amidase sle1","6","6","1","1","3997","","","","803","1007","953","AR465_00392","M48_00503","NRS1_00956","P10_00362","R50_00370","V521_00541"
"sufU","","Zinc-dependent sulfurtransferase SufU","6","6","1","1","3307","","","","452","464","462","AR465_00019","M48_00909","NRS1_02501","P10_00775","R50_00763","V521_00949"
"group_425","","hypothetical protein","6","6","1","1","519","","","","284","284","284","AR465_00046","M48_00859","NRS1_02528","P10_00733","R50_00736","V521_00897"
"group_427","","hypothetical protein","6","6","1","1","508","","","","521","521","521","AR465_00055","M48_00850","NRS1_02537","P10_00723","R50_00727","V521_00888"
"group_428","","Epimerase family protein","6","6","1","1","2288","","","","869","902","885","AR465_00071","M48_00831","NRS1_01275","P10_00698","R50_00689","V521_00870"
"dapH_2","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","6","6","1","1","2295","","","","281","485","451","AR465_00079","M48_00823","NRS1_01266","P10_00690","R50_00681","V521_00862"
"sdrD","","Serine-aspartate repeat-containing protein D","6","6","1","1","1912","","","","4013","4217","4112","AR465_00275","M48_00617","NRS1_01070","P10_00470","R50_00479","V521_00655"
"group_430","","hypothetical protein","6","6","1","1","2319","","","","452","518","507","AR465_00102","M48_00799","NRS1_01243","P10_00667","R50_00658","V521_00839"
"yclP","","Petrobactin import ATP-binding protein YclP","6","6","1","1","2323","","","","647","761","742","AR465_00106","M48_00795","NRS1_01239","P10_00663","R50_00654","V521_00835"
"group_432","","hypothetical protein","6","6","1","1","2349","","","","440","440","440","AR465_00132","M48_00769","NRS1_01213","P10_00637","R50_00628","V521_00809"
"group_433","","hypothetical protein","6","6","1","1","2046","","","","452","464","454","AR465_00144","M48_00757","NRS1_01201","P10_00610","R50_00616","V521_00797"
"group_434","","hypothetical protein","6","6","1","1","2042","","","","284","284","284","AR465_00148","M48_00753","NRS1_01197","P10_00606","R50_00612","V521_00793"
"phrB","","Deoxyribodipyrimidine photo-lyase","6","6","1","1","2041","","","","1373","1373","1373","AR465_00149","M48_00752","NRS1_01196","P10_00605","R50_00611","V521_00792"
"group_436","","Acetyltransferase","6","6","1","1","2029","","","","470","542","530","AR465_00161","M48_00740","NRS1_01184","P10_00593","R50_00599","V521_00780"
"setC","","Sugar efflux transporter C","6","6","1","1","2023","","","","1220","1292","1256","AR465_00167","M48_00734","NRS1_01178","P10_00587","R50_00593","V521_00774"
"rhaR","","HTH-type transcriptional activator RhaR","6","6","1","1","2016","","","","1073","2150","1970","AR465_00173","M48_00728","NRS1_01172","P10_00580","R50_00586","V521_00768"
"group_439","","hypothetical protein","6","6","1","1","1964","","","","506","506","506","AR465_00225","M48_00677","NRS1_01120","P10_00529","R50_00535","V521_00717"
"nth_1","","Endonuclease III","6","6","1","1","1959","","","","635","635","635","AR465_00230","M48_00672","NRS1_01115","P10_00524","R50_00530","V521_00712"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","6","6","1","1","1945","","","","1322","1322","1322","AR465_00244","M48_00648","NRS1_01101","P10_00501","R50_00510","V521_00688"
"group_442","","hypothetical protein","6","6","1","1","1928","","","","236","269","252","AR465_00260","M48_00632","NRS1_01085","P10_00485","R50_00494","V521_00671"
"group_443","","hypothetical protein","6","6","1","1","1884","","","","569","569","569","AR465_00303","M48_00589","NRS1_01042","P10_00442","R50_00451","V521_00627"
"group_444","","hypothetical protein","6","6","1","1","1827","","","","278","524","483","AR465_00379","M48_00516","NRS1_00969","P10_00375","R50_00383","V521_00554"
"hdfR_1","","HTH-type transcriptional regulator HdfR","6","6","1","1","1821","","","","635","884","842","AR465_00386","M48_00509","NRS1_00962","P10_00368","R50_00376","V521_00547"
"metN","","Methionine import ATP-binding protein MetN","6","6","1","1","4000","","","","1025","1025","1025","AR465_00395","M48_00500","NRS1_00953","P10_00359","R50_00367","V521_00538"
"group_447","","hypothetical protein","6","6","1","1","4011","","","","194","194","194","AR465_00405","M48_00489","NRS1_00943","P10_00348","R50_00356","V521_00527"
"group_448","","hypothetical protein","6","6","1","1","4015","","","","323","323","323","AR465_00407","M48_00487","NRS1_00941","P10_00346","R50_00354","V521_00525"
"group_450","","hypothetical protein","6","6","1","1","4029","","","","206","308","291","AR465_00419","M48_00480","NRS1_00929","P10_00335","R50_00337","V521_00519"
"ssl4_1","","Staphylococcal superantigen-like 4","6","6","1","1","3959","","","","695","695","695","AR465_00431","M48_00467","NRS1_00918","P10_00321","R50_00324","V521_00506"
"qorB","","Quinone oxidoreductase 2","6","6","1","1","3957","","","","845","845","845","AR465_00433","M48_00465","NRS1_00916","P10_00319","R50_00322","V521_00504"
"group_455","","hypothetical protein","6","6","1","1","3955","","","","152","152","152","AR465_00435","M48_00463","NRS1_00914","P10_00317","R50_00320","V521_00502"
"group_457","","hypothetical protein","6","6","1","1","25","","","","407","407","407","AR465_00443","M48_00424","NRS1_00882","P10_00309","R50_00306","V521_00463"
"group_458","","hypothetical protein","6","6","1","1","169","","","","251","254","251","AR465_00455","M48_00413","NRS1_00869","P10_00298","R50_00294","V521_00452"
"group_459","","hypothetical protein","6","6","1","1","172","","","","368","368","368","AR465_00458","M48_00410","NRS1_00866","P10_00295","R50_00291","V521_00449"
"selX","","Enterotoxin-like toxin X","6","6","1","1","173","","","","611","611","611","AR465_00459","M48_00409","NRS1_00865","P10_00294","R50_00289","V521_00448"
"group_461","","hypothetical protein","6","6","1","1","182","","","","203","203","203","AR465_00466","M48_00401","NRS1_00858","P10_00286","R50_00280","V521_00439"
"mscS","","Small-conductance mechanosensitive channel","6","6","1","1","183","","","","881","881","881","AR465_00467","M48_00400","NRS1_00857","P10_00285","R50_00279","V521_00438"
"btuD_1","","Vitamin B12 import ATP-binding protein BtuD","6","6","1","1","193","","","","842","842","842","AR465_00477","M48_00390","NRS1_00847","P10_00275","R50_00269","V521_00428"
"mepA","","Multidrug export protein MepA","6","6","1","1","210","","","","1184","1355","1326","AR465_00493","M48_00373","NRS1_00830","P10_00259","R50_00253","V521_00411"
"group_466","","Lipoate--protein ligase 2","6","6","1","1","217","","","","1022","1022","1022","AR465_00500","M48_00366","NRS1_00823","P10_00252","R50_00246","V521_00404"
"group_467","","Protein ADP-ribosyltransferase","6","6","1","1","218","","","","944","944","944","AR465_00501","M48_00365","NRS1_00822","P10_00251","R50_00245","V521_00403"
"group_468","","Protein-ADP-ribose hydrolase","6","6","1","1","219","","","","800","800","800","AR465_00502","M48_00364","NRS1_00821","P10_00250","R50_00244","V521_00402"
"group_469","","putative oxidoreductase","6","6","1","1","222","","","","1199","1214","1204","AR465_00505","M48_00361","NRS1_00818","P10_00247","R50_00241","V521_00399"
"group_471","","hypothetical protein","6","6","1","1","484","","","","311","374","353","AR465_00524","M48_00274","NRS1_00799","P10_00227","R50_00222","V521_00316"
"group_473","","hypothetical protein","6","6","1","1","472","","","","218","218","218","AR465_00530","M48_00263","NRS1_00793","P10_00216","R50_00216","V521_00304"
"group_476","","hypothetical protein","6","6","1","1","442","","","","1166","1166","1166","AR465_00547","M48_00246","NRS1_00776","P10_00197","R50_00200","V521_00287"
"scdA","","Iron-sulfur cluster repair protein ScdA","6","6","1","1","419","","","","674","674","674","AR465_00566","M48_00226","NRS1_00757","P10_00177","R50_00179","V521_00267"
"tarK","","Teichoic acid ribitol-phosphate polymerase TarK","6","6","1","1","413","","","","1694","1694","1694","AR465_00572","M48_00220","NRS1_00751","P10_00171","R50_00173","V521_00261"
"gatA_1","","PTS system galactitol-specific EIIA component","6","6","1","1","405","","","","410","467","457","AR465_00580","M48_00212","NRS1_00743","P10_00163","R50_00165","V521_00253"
"nikA","","Nickel-binding protein NikA","6","6","1","1","397","","","","1412","1475","1464","AR465_00588","M48_00204","NRS1_00735","P10_00155","R50_00157","V521_00245"
"scn_1","","Staphylococcal complement inhibitor","6","6","1","1","385","","","","344","344","344","AR465_00596","M48_00195","NRS1_00727","P10_00147","R50_00149","V521_00235"
"group_483","","hypothetical protein","6","6","1","1","355","","","","281","281","281","AR465_00631","M48_00169","NRS1_00691","P10_00118","R50_00121","V521_00210"
"ipdC","","Indole-3-pyruvate decarboxylase","6","6","1","1","347","","","","1640","1640","1640","AR465_00637","M48_00160","NRS1_00685","P10_00112","R50_00115","V521_00203"
"rocD2_1","","Ornithine aminotransferase 2","6","6","1","1","344","","","","1184","1184","1184","AR465_00640","M48_00157","NRS1_00682","P10_00109","R50_00112","V521_00200"
"argJ","","Arginine biosynthesis bifunctional protein ArgJ","6","6","1","1","342","","","","1241","1241","1241","AR465_00642","M48_00155","NRS1_00680","P10_00107","R50_00110","V521_00198"
"group_489","","Formate dehydrogenase","6","6","1","1","335","","","","1025","1175","1125","AR465_00648","M48_00149","NRS1_00674","P10_00101","R50_00104","V521_00192"
"aldA","","Putative aldehyde dehydrogenase AldA","6","6","1","1","325","","","","1487","1676","1518","AR465_00657","M48_00140","NRS1_00665","P10_00092","R50_00095","V521_00183"
"ywqD_1","","Tyrosine-protein kinase YwqD","6","6","1","1","303","","","","686","686","686","AR465_00674","M48_00123","NRS1_00648","P10_00074","R50_00078","V521_00166"
"yfkN","","Trifunctional nucleotide phosphoesterase protein YfkN","6","6","1","1","297","","","","1535","1535","1535","AR465_00679","M48_00118","NRS1_00643","P10_00069","R50_00073","V521_00160"
"deoB","","Phosphopentomutase","6","6","1","1","289","","","","1142","1178","1172","AR465_00685","M48_00112","NRS1_00637","P10_00063","R50_00067","V521_00154"
"group_495","","hypothetical protein","6","6","1","1","276","","","","626","626","626","AR465_00698","M48_00099","NRS1_00624","P10_00050","R50_00054","V521_00141"
"sbnF","","2-[(L-alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate synthase","6","6","1","1","271","","","","1778","1778","1778","AR465_00702","M48_00095","NRS1_00620","P10_00046","R50_00049","V521_00137"
"sbnD","","Staphyloferrin B transporter","6","6","1","1","269","","","","1172","1256","1214","AR465_00704","M48_00093","NRS1_00618","P10_00044","R50_00047","V521_00135"
"sbnC","","Staphyloferrin B synthase","6","6","1","1","268","","","","1754","1754","1754","AR465_00705","M48_00092","NRS1_00617","P10_00043","R50_00046","V521_00134"
"yfhA","","putative siderophore transport system permease protein YfhA","6","6","1","1","263","","","","998","998","998","AR465_00710","M48_00087","NRS1_00612","P10_00038","R50_00041","V521_00129"
"plc","","1-phosphatidylinositol phosphodiesterase","6","6","1","1","1719","","","","986","986","986","AR465_00727","M48_00075","NRS1_00595","P10_00023","R50_00023","V521_00118"
"group_503","","hypothetical protein","6","6","1","1","1725","","","","602","602","602","AR465_00731","M48_00072","NRS1_00592","P10_00020","R50_00020","V521_00115"
"group_514","","hypothetical protein","6","6","1","1","2533","","","","605","923","870","AR465_00803","M48_00014","NRS1_00519","P10_02708","R50_02650","V521_00013"
"group_515","","hypothetical protein","6","6","1","1","2530","","","","641","695","686","AR465_00806","M48_00010","NRS1_00516","P10_02705","R50_02647","V521_00010"
"bceB_3","","Bacitracin export permease protein BceB","6","6","1","1","2505","","","","1880","1880","1880","AR465_00827","M48_02975","NRS1_00495","P10_02681","R50_02623","V521_03009"
"group_518","","hypothetical protein","6","6","1","1","2503","","","","512","512","512","AR465_00829","M48_02973","NRS1_00493","P10_02679","R50_02621","V521_03007"
"group_52","","hypothetical protein","6","6","1","1","2414","","","","1313","3785","3371","AR465_01620","M48_02047","NRS1_01367","P10_01962","R50_01429","V521_02097"
"group_521","","Lactonase drp35","6","6","1","1","2490","","","","974","974","974","AR465_00840","M48_02963","NRS1_00481","P10_02668","R50_02611","V521_02996"
"ykoD_2","","Putative HMP/thiamine import ATP-binding protein YkoD","6","6","1","1","2486","","","","1712","1712","1712","AR465_00844","M48_02959","NRS1_00477","P10_02664","R50_02607","V521_02992"
"group_523","","hypothetical protein","6","6","1","1","2484","","","","497","497","497","AR465_00846","M48_02957","NRS1_00475","P10_02662","R50_02605","V521_02990"
"hisZ","","ATP phosphoribosyltransferase regulatory subunit","6","6","1","1","2482","","","","818","857","831","AR465_00848","M48_02955","NRS1_00473","P10_02660","R50_02603","V521_02988"
"hisC_3","","Histidinol-phosphate aminotransferase","6","6","1","1","2479","","","","1013","1013","1013","AR465_00851","M48_02952","NRS1_00470","P10_02657","R50_02600","V521_02985"
"hisH","","Imidazole glycerol phosphate synthase subunit HisH","6","6","1","1","2477","","","","578","578","578","AR465_00853","M48_02950","NRS1_00468","P10_02655","R50_02598","V521_02983"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","6","6","1","1","2476","","","","704","704","704","AR465_00854","M48_02949","NRS1_00467","P10_02654","R50_02597","V521_02982"
"icaD","","Poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein IcaD","6","6","1","1","2470","","","","266","305","298","AR465_00860","M48_02942","NRS1_00461","P10_02648","R50_02591","V521_02976"
"group_529","","hypothetical protein","6","6","1","1","2464","","","","500","500","500","AR465_00866","M48_02936","NRS1_00455","P10_02642","R50_02585","V521_02970"
"msrAB","","Peptide methionine sulfoxide reductase msrA/msrB","6","6","1","1","2463","","","","476","476","476","AR465_00867","M48_02935","NRS1_00454","P10_02641","R50_02584","V521_02969"
"group_531","","hypothetical protein","6","6","1","1","2462","","","","611","611","611","AR465_00868","M48_02934","NRS1_00453","P10_02640","R50_02583","V521_02968"
"group_533","","hypothetical protein","6","6","1","1","2456","","","","692","692","692","AR465_00872","M48_02929","NRS1_00449","P10_02636","R50_02578","V521_02963"
"group_535","","putative protein.1","6","6","1","1","2082","","","","104","104","104","AR465_00900","M48_02900","NRS1_00421","P10_02608","R50_02550","V521_02935"
"group_538","","hypothetical protein","6","6","1","1","2105","","","","416","416","416","AR465_00923","M48_02877","NRS1_00398","P10_02584","R50_02527","V521_02912"
"cocE","","Cocaine esterase","6","6","1","1","2117","","","","1682","1682","1682","AR465_00934","M48_02868","NRS1_00387","P10_02575","R50_02516","V521_02903"
"group_540","","hypothetical protein","6","6","1","1","2119","","","","449","449","449","AR465_00936","M48_02866","NRS1_00385","P10_02573","R50_02514","V521_02901"
"group_541","","putative ketoamine kinase","6","6","1","1","2123","","","","866","866","866","AR465_00941","M48_02862","NRS1_00380","P10_02569","R50_02510","V521_02897"
"group_542","","hypothetical protein","6","6","1","1","2124","","","","275","278","277","AR465_00942","M48_02861","NRS1_00379","P10_02568","R50_02509","V521_02896"
"group_543","","hypothetical protein","6","6","1","1","2279","","","","890","890","890","AR465_00947","M48_02832","NRS1_00374","P10_02563","R50_02504","V521_02869"
"group_544","","putative hydrolase","6","6","1","1","2278","","","","569","830","743","AR465_00948","M48_02831","NRS1_00373","P10_02562","R50_02503","V521_02868"
"group_545","","hypothetical protein","6","6","1","1","2274","","","","557","557","557","AR465_00951","M48_02827","NRS1_00370","P10_02559","R50_02500","V521_02864"
"group_546","","hypothetical protein","6","6","1","1","2273","","","","299","299","299","AR465_00952","M48_02826","NRS1_00369","P10_02558","R50_02499","V521_02863"
"group_547","","hypothetical protein","6","6","1","1","2272","","","","629","821","789","AR465_00953","M48_02825","NRS1_00368","P10_02557","R50_02498","V521_02862"
"group_548","","hypothetical protein","6","6","1","1","2262","","","","497","497","497","AR465_00964","M48_02816","NRS1_00358","P10_02547","R50_02489","V521_02853"
"crtQ","","4,4'-diaponeurosporenoate glycosyltransferase","6","6","1","1","2260","","","","1127","1127","1127","AR465_00966","M48_02814","NRS1_00356","P10_02545","R50_02487","V521_02851"
"crtN","","4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)","6","6","1","1","2258","","","","1508","1508","1508","AR465_00968","M48_02812","NRS1_00354","P10_02543","R50_02485","V521_02849"
"bacF","","Transaminase BacF","6","6","1","1","2257","","","","1154","1154","1154","AR465_00969","M48_02811","NRS1_00353","P10_02542","R50_02484","V521_02848"
"mvaA","","3-hydroxy-3-methylglutaryl-coenzyme A reductase","6","6","1","1","2241","","","","1277","1277","1277","AR465_00984","M48_02795","NRS1_00338","P10_02527","R50_02469","V521_02833"
"group_554","","hypothetical protein","6","6","1","1","2232","","","","344","356","350","AR465_00993","M48_02785","NRS1_00329","P10_02517","R50_02460","V521_02823"
"yjdJ","","putative protein YjdJ","6","6","1","1","2215","","","","284","284","284","AR465_01009","M48_02768","NRS1_00313","P10_02499","R50_02444","V521_02807"
"mhqD","","Putative hydrolase MhqD","6","6","1","1","2212","","","","593","593","593","AR465_01012","M48_02765","NRS1_00310","P10_02496","R50_02441","V521_02804"
"xylB","","Xylulose kinase","6","6","1","1","2200","","","","1553","1553","1553","AR465_01024","M48_02751","NRS1_00298","P10_02482","R50_02429","V521_02790"
"pgcA","","Phosphoglucomutase","6","6","1","1","2184","","","","1637","1637","1637","AR465_01037","M48_02736","NRS1_00284","P10_02470","R50_02415","V521_02777"
"nudG","","CTP pyrophosphohydrolase","6","6","1","1","2183","","","","392","392","392","AR465_01038","M48_02735","NRS1_00283","P10_02469","R50_02414","V521_02776"
"fetA","","putative iron export ATP-binding protein FetA","6","6","1","1","927","","","","662","662","662","AR465_01073","M48_02707","NRS1_00247","P10_02435","R50_02378","V521_02748"
"opuCA","","Carnitine transport ATP-binding protein OpuCA","6","6","1","1","933","","","","1226","1226","1226","AR465_01079","M48_02701","NRS1_00241","P10_02429","R50_02372","V521_02742"
"group_566","","hypothetical protein","6","6","1","1","958","","","","467","467","467","AR465_01104","M48_02676","NRS1_00216","P10_02404","R50_02347","V521_02716"
"sirB","","Sirohydrochlorin ferrochelatase","6","6","1","1","981","","","","731","731","731","AR465_01126","M48_02654","NRS1_00194","P10_02382","R50_02325","V521_02693"
"ydaG","","General stress protein 26","6","6","1","1","1002","","","","422","422","422","AR465_01145","M48_02634","NRS1_00175","P10_02362","R50_02306","V521_02673"
"group_569","","putative lipoprotein","6","6","1","1","1017","","","","614","629","624","AR465_01157","M48_02622","NRS1_00162","P10_02349","R50_02294","V521_02661"
"group_570","","hypothetical protein","6","6","1","1","1068","","","","356","356","356","AR465_01207","M48_02570","NRS1_00112","P10_02298","R50_02243","V521_02610"
"yifK","","putative transport protein YifK","6","6","1","1","1069","","","","1289","1379","1364","AR465_01208","M48_02569","NRS1_00111","P10_02297","R50_02242","V521_02609"
"cysQ","","3'(2'),5'-bisphosphate nucleotidase CysQ","6","6","1","1","1074","","","","755","797","790","AR465_01213","M48_02564","NRS1_00106","P10_02292","R50_02237","V521_02604"
"modA","","Molybdate-binding protein ModA","6","6","1","1","1105","","","","776","782","781","AR465_01244","M48_02533","NRS1_00075","P10_02261","R50_02206","V521_02573"
"group_574","","hypothetical protein","6","6","1","1","1111","","","","485","485","485","AR465_01251","M48_02526","NRS1_00068","P10_02254","R50_02199","V521_02566"
"group_576","","hypothetical protein","6","6","1","1","1182","","","","854","854","854","AR465_01317","M48_02464","NRS1_00002","P10_02190","R50_02140","V521_02502"
"cobB","","NAD-dependent protein deacetylase","6","6","1","1","1189","","","","740","740","740","AR465_01322","M48_02458","NRS1_02737","P10_02184","R50_02134","V521_02496"
"group_591","","hypothetical protein","6","6","1","1","1399","","","","7436","7445","7440","AR465_01431","M48_02407","NRS1_02691","P10_02147","R50_02091","V521_02447"
"mtlA","","PTS system mannitol-specific EIICB component","6","6","1","1","1403","","","","1268","1538","1493","AR465_01435","M48_02403","NRS1_02687","P10_02143","R50_02087","V521_02443"
"ywpJ","","Phosphatase YwpJ","6","6","1","1","1406","","","","593","857","813","AR465_01439","M48_02400","NRS1_02684","P10_02140","R50_02084","V521_02440"
"group_594","","hypothetical protein","6","6","1","1","1417","","","","1370","1373","1372","AR465_01446","M48_02390","NRS1_02677","P10_02131","R50_02077","V521_02431"
"deoD1","","Purine nucleoside phosphorylase DeoD-type 1","6","6","1","1","1421","","","","650","710","700","AR465_01449","M48_02386","NRS1_02674","P10_02128","R50_02074","V521_02428"
"leuD","","3-isopropylmalate dehydratase small subunit","6","6","1","1","1499","","","","572","572","572","AR465_01531","M48_02304","NRS1_02592","P10_02047","R50_01994","V521_02347"
"agrA","","Accessory gene regulator protein A","6","6","1","1","1536","","","","716","779","726","AR465_01552","M48_02129","NRS1_02571","P10_02026","R50_01973","V521_02173"
"group_599","","putative leukocidin-like protein 1","6","6","1","1","1566","","","","1016","1016","1016","AR465_01566","M48_02106","NRS1_01314","P10_02007","R50_01959","V521_02153"
"hlb_2","","Phospholipase C","6","6","1","1","1567","","","","695","824","802","AR465_01567","M48_02105","NRS1_01315","P10_02006","R50_01958","V521_02152"
"group_604","","hypothetical protein","6","6","1","1","3524","","","","299","299","299","AR465_01604","M48_02063","NRS1_01351","P10_02809","R50_01445","V521_02113"
"group_605","","hypothetical protein","6","6","1","1","3521","","","","1163","1187","1183","AR465_01607","M48_02060","NRS1_01354","P10_02812","R50_01442","V521_02110"
"clpP_2","","ATP-dependent Clp protease proteolytic subunit","6","6","1","1","3520","","","","737","737","737","AR465_01608","M48_02059","NRS1_01355","P10_02813","R50_01441","V521_02109"
"group_607","","hypothetical protein","6","6","1","1","3519","","","","1145","1220","1157","AR465_01609","M48_02058","NRS1_01356","P10_02814","R50_01440","V521_02108"
"group_609","","hypothetical protein","6","6","1","1","3517","","","","284","296","286","AR465_01611","M48_02056","NRS1_01358","P10_02816","R50_01438","V521_02106"
"group_610","","hypothetical protein","6","6","1","1","3513","","","","641","644","643","AR465_01615","M48_02052","NRS1_01362","P10_02820","R50_01434","V521_02102"
"group_613","","hypothetical protein","6","6","1","1","3415","","","","1145","1151","1149","AR465_01692","M48_01975","NRS1_01438","P10_01889","R50_01888","V521_02025"
"tagH_2","","Teichoic acids export ATP-binding protein TagH","6","6","1","1","3421","","","","1034","1517","1436","AR465_01698","M48_01901","NRS1_01444","P10_01883","R50_01882","V521_01952"
"group_620","","hypothetical protein","6","6","1","1","3622","","","","995","1010","997","AR465_01810","M48_01787","NRS1_01556","P10_01757","R50_01781","V521_01838"
"group_621","","hypothetical protein","6","6","1","1","3623","","","","614","614","614","AR465_01811","M48_01786","NRS1_01557","P10_01756","R50_01780","V521_01837"
"menC","","o-succinylbenzoate synthase","6","6","1","1","3626","","","","1001","1001","1001","AR465_01814","M48_01783","NRS1_01560","P10_01753","R50_01777","V521_01834"
"group_623","","hypothetical protein","6","6","1","1","3646","","","","314","314","314","AR465_01835","M48_01760","NRS1_01581","P10_01732","R50_01757","V521_01811"
"acuA","","Acetoin utilization protein AcuA","6","6","1","1","3685","","","","632","632","632","AR465_01872","M48_01722","NRS1_01619","P10_01694","R50_01719","V521_01773"
"group_625","","hypothetical protein","6","6","1","1","3760","","","","554","686","598","AR465_01943","M48_01650","NRS1_01691","P10_01624","R50_01646","V521_01700"
"group_626","","hypothetical protein","6","6","1","1","3761","","","","284","284","284","AR465_01950","M48_01642","NRS1_01698","P10_01623","R50_01645","V521_01692"
"group_627","","hypothetical protein","6","6","1","1","3764","","","","503","530","521","AR465_01953","M48_01639","NRS1_01701","P10_01620","R50_01642","V521_01689"
"group_628","","hypothetical protein","6","6","1","1","3780","","","","812","875","864","AR465_01969","M48_01623","NRS1_01717","P10_01604","R50_01626","V521_01673"
"group_629","","hypothetical protein","6","6","1","1","3786","","","","182","182","182","AR465_01975","M48_01617","NRS1_01723","P10_01598","R50_01620","V521_01667"
"yhbY","","RNA-binding protein","6","6","1","1","3818","","","","290","290","290","AR465_02005","M48_01586","NRS1_01753","P10_01569","R50_01591","V521_01635"
"comEA","","ComE operon protein 1","6","6","1","1","3823","","","","677","677","677","AR465_02010","M48_01581","NRS1_01758","P10_01564","R50_01586","V521_01630"
"trmK","","tRNA (adenine(22)-N(1))-methyltransferase","6","6","1","1","3853","","","","677","677","677","AR465_02039","M48_01552","NRS1_01787","P10_01534","R50_01557","V521_01601"
"group_633","","hypothetical protein","6","6","1","1","3902","","","","371","371","371","AR465_02090","M48_01503","NRS1_01838","P10_01485","R50_01508","V521_01552"
"malR","","HTH-type transcriptional regulator MalR","6","6","1","1","3903","","","","1019","1019","1019","AR465_02091","M48_01502","NRS1_01839","P10_01484","R50_01505","V521_01551"
"group_637","","hypothetical protein","6","6","1","1","97","","","","953","953","953","AR465_02183","M48_01476","NRS1_01865","P10_01388","R50_01412","V521_01524"
"ebpS","","Elastin-binding protein EbpS","6","6","1","1","95","","","","1460","1460","1460","AR465_02185","M48_01474","NRS1_01867","P10_01386","R50_01410","V521_01522"
"group_639","","hypothetical protein","6","6","1","1","87","","","","542","572","567","AR465_02193","M48_01466","NRS1_01875","P10_01378","R50_01402","V521_01514"
"clfA","","hypothetical protein","6","6","1","1","511","","","","2279","2879","2678","AR465_00053","M48_00852","NRS1_02535","P10_00725","R50_00729","V521_00890"
"aroA_1","","3-phosphoshikimate 1-carboxyvinyltransferase","6","6","1","1","79","","","","1298","1298","1298","AR465_02200","M48_01459","NRS1_01882","P10_01371","R50_01395","V521_01507"
"group_641","","hypothetical protein","6","6","1","1","76","","","","587","587","587","AR465_02203","M48_01456","NRS1_01885","P10_01368","R50_01392","V521_01504"
"group_642","","hypothetical protein","6","6","1","1","66","","","","341","341","341","AR465_02213","M48_01446","NRS1_01895","P10_01358","R50_01382","V521_01494"
"group_643","","hypothetical protein","6","6","1","1","2779","","","","1124","1124","1124","AR465_02234","M48_01425","NRS1_01916","P10_01338","R50_01362","V521_01473"
"group_644","","hypothetical protein","6","6","1","1","2787","","","","221","233","225","AR465_02242","M48_01417","NRS1_01924","P10_01330","R50_01354","V521_01465"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","6","6","1","1","2817","","","","887","887","887","AR465_02267","M48_01389","NRS1_01950","P10_01301","R50_01328","V521_01437"
"nikC","","Nickel import system permease protein NikC","6","6","1","1","2830","","","","770","830","820","AR465_02280","M48_01376","NRS1_01963","P10_01288","R50_01299","V521_01423"
"nikD","","Nickel import system ATP-binding protein NikD","6","6","1","1","2831","","","","776","776","776","AR465_02281","M48_01375","NRS1_01964","P10_01287","R50_01298","V521_01422"
"trpC","","Indole-3-glycerol phosphate synthase","6","6","1","1","2842","","","","782","782","782","AR465_02291","M48_01366","NRS1_01974","P10_01278","R50_01288","V521_01413"
"group_649","","Putative transport protein","6","6","1","1","2853","","","","1148","1208","1158","AR465_02302","M48_01355","NRS1_01985","P10_01267","R50_01277","V521_01402"
